timestamp,producto_id,titulo,precio,precio_original,vendedor,categoria,url
2026-08-15T20:59:21+00:00,A00000583_12174,Auriculares Inalámbricos MOTOROLA Moto Buds II Plus BT Con Cancelación De Ruido - Silhouette,115,129,AMV Store,auriculares bluetooth,https://amvstore.com.uy/catalogo/auriculares-inalambricos-motorola-moto-buds-ii-plus-bt-con-cancelacion-de-ruido-silhouette_A00000583_12174
2026-08-15T20:59:21+00:00,11821_11821,Auriculares Inalámbricos JBL Live 680NC BT Con Cancelación De Audio Activa - Black,145,179,AMV Store,auriculares bluetooth,https://amvstore.com.uy/catalogo/auriculares-inalambricos-jbl-live-680nc-bt-con-cancelacion-de-audio-activa-black_11821_11821
2026-08-15T20:59:21+00:00,A00000541_11816,Auriculares Gamer Inalámbricos JBL Quantum 650 Autonomía De 45 Horas - Black,179,227,AMV Store,auriculares bluetooth,https://amvstore.com.uy/catalogo/auriculares-gamer-inalambricos-jbl-quantum-650-autonomia-de-45-horas-black_A00000541_11816
2026-08-15T20:59:21+00:00,A00000550_11899,Auriculares Inalámbricos Xiaomi Redmi Headphones Neo BT ANC - Obsidian Black,65,,AMV Store,auriculares bluetooth,https://amvstore.com.uy/catalogo/auriculares-inalambricos-xiaomi-redmi-headphones-neo-bt-anc-obsidian-black_A00000550_11899
2026-08-15T20:59:21+00:00,A00000588_12228,Auriculares Inalámbricos SKULLCANDY Smokin 360 XT BT Resistencia IPX4 - Hazard,45,,AMV Store,auriculares bluetooth,https://amvstore.com.uy/catalogo/auriculares-inalambricos-skullcandy-smokin-360-xt-bt-resistencia-ipx4-hazard_A00000588_12228
2026-08-15T20:59:21+00:00,12175_12175,Auriculares Inalámbricos MOTOROLA Moto Buds Loop BT Open Ear Con Micrófono - Green,109,,AMV Store,auriculares bluetooth,https://amvstore.com.uy/catalogo/auriculares-inalambricos-motorola-moto-buds-loop-bt-open-ear-con-microfono-green_12175_12175
2026-08-15T20:59:21+00:00,A00000076_10682,Auriculares Inalámbricos XIAOMI Redmi Buds 6 Play BT - Blue,706,,AMV Store,auriculares bluetooth,https://amvstore.com.uy/catalogo/auriculares-inalambricos-xiaomi-redmi-buds-6-play-bt-blue_A00000076_10682
2026-08-15T20:59:21+00:00,11880_11880,Auriculares Inalámbricos ANKER SOUNDCORE Q11I BT Micrófono Integrado,39,,AMV Store,auriculares bluetooth,https://amvstore.com.uy/catalogo/auriculares-inalambricos-anker-soundcore-q11i-bt-microfono-integrado_11880_11880
2026-08-15T20:59:21+00:00,A00000496_11823,Parlante Inalámbrico JBL GO 5 BT Autonomía 8hrs Waterproof - Squad,59,79,AMV Store,parlantes,https://amvstore.com.uy/catalogo/parlante-inalambrico-jbl-go-5-bt-autonomia-8hrs-waterproof-squad_A00000496_11823
2026-08-15T20:59:21+00:00,A00000455_11822,Parlante Inalámbrico JBL Go Essential 2 BT IP67 - Blue,39,42,AMV Store,parlantes,https://amvstore.com.uy/catalogo/parlante-inalambrico-jbl-go-essential-2-bt-ip67-blue_A00000455_11822
